,CD4.prot,CD8A.prot
235225,1.0782318,0.14116712
98644,1.1946706,0.09827162
148889,1.1189694,0.12568493
395160,1.1097171,0.12832321
132846,0.95761895,0.20061721
378980,1.0731086,0.14366966
231481,1.0219705,0.16907825
822837,1.120766,0.120156124
306759,1.1535461,0.11373402
747299,0.35853776,0.70807266
217139,0.8896891,0.23988706
257094,1.079423,0.14137664
463999,0.9994377,0.17888379
791913,0.59081775,0.46018586
49310,1.0248034,0.16774462
726806,1.0754024,0.14488287
747022,0.92581904,0.21884266
630155,0.9997467,0.17973302
506343,1.1040771,0.12874879
830029,1.1562877,0.111946404
158695,1.0769091,0.14333183
803121,1.0488379,0.15610284
542689,0.8519045,0.26354125
397337,1.1198792,0.1241456
105197,1.1567694,0.11021287
77965,1.0493793,0.15533666
236190,0.94601107,0.20760551
601624,1.1372278,0.11943817
776570,1.0959961,0.13473502
792941,0.42678776,0.6301408
159084,1.0948813,0.1338939
200862,1.0367951,0.16110083
664053,0.9222828,0.22145453
292421,1.309462,0.06397173
492748,1.1432457,0.11433307
821693,1.0575151,0.15150277
163909,1.0104024,0.17460129
622199,1.0023106,0.1782854
437930,0.38501212,0.6781165
230770,1.1333971,0.118954174
533010,0.9686994,0.19455753
548665,0.98142236,0.18734308
121159,1.3074883,0.06570516
249288,1.008549,0.17423789
378824,0.37234357,0.6889572
379255,0.88926685,0.23959278
563669,1.1660695,0.108076066
257491,1.2236902,0.08877581
219706,0.9017483,0.23219545
333349,0.8646387,0.25571933
254384,0.73833996,0.34224322
637397,1.1205235,0.12626816
830392,1.0089338,0.1753925
27593,1.203513,0.09456987
82443,0.37656716,0.69330525
321493,1.0772377,0.14114675
692983,1.2181234,0.09093585
762288,1.0906613,0.13767555
633440,0.39394513,0.66594213
13168,1.1519496,0.112957
496745,0.8950606,0.2359245
747024,0.9807215,0.18896417
202772,0.93802637,0.21154208
573503,1.0200855,0.16895072
404453,0.9919418,0.18191287
869139,1.149362,0.114984766
480371,1.1268786,0.12035519
153678,0.45135537,0.59885937
459302,1.1113843,0.12899587
291967,0.96741724,0.1959321
466273,0.90435374,0.23141201
162185,1.1015683,0.13244729
350205,1.0884964,0.13746154
788351,1.2679605,0.07528635
442138,1.0621464,0.14784533
498239,1.0028117,0.17751616
96365,1.1151388,0.1270373
470348,0.92546487,0.21902993
571510,0.8712585,0.2502003
757172,1.2135152,0.092597015
450059,1.2685004,0.07566056
504508,0.08545441,1.2278156
120104,1.1066076,0.13121244
493728,1.1494348,0.11471175
254589,0.92555636,0.21854542
141689,1.0192566,0.1691589
875564,1.1668637,0.10678075
192426,0.9519087,0.2046347
485011,0.9224546,0.22082938
846136,1.1903211,0.10000369
750854,1.1483011,0.114317596
80528,0.99048513,0.1836068
451361,1.0626584,0.15025583
695549,0.97906625,0.18966253
546801,1.1979522,0.09774274
648944,0.96253794,0.19691733
286292,0.3948439,0.65813804
329432,1.0582062,0.14330375
378603,1.0459131,0.15650253
202393,0.3413533,0.7043275
266092,1.0434749,0.15841499
373372,0.7978538,0.29787588
173677,1.0315373,0.16165157
731104,0.9640604,0.19802049
801616,0.88047403,0.24509436
127034,0.8622526,0.25237435
456872,1.0523292,0.15451933
705173,0.45874637,0.58853394
796003,0.8353201,0.27378082
97633,0.966534,0.19618954
337878,1.2883859,0.06965108
635949,1.1242318,0.12302865
626123,1.2105615,0.09282009
273456,1.0852625,0.13946445
739400,1.0149527,0.1718152
593247,1.121122,0.12568724
663540,1.0031297,0.1775674
819171,1.152806,0.113121726
632778,1.054402,0.15325527
